time_s;mode;position_deg;setpoint_deg;pend_position_deg;pwm;voltage_v;current_mA;power_mW
48.5;4;-18.809;0;-73.828;100;;218.1;3104
48.6;4;-16.348;0;-87.891;100;;204.3;2922
48.7;4;-27.598;0;-35.156;100;;202.5;2894
48.9;4;-31.113;0;55.02;-100;;192.7;2762
49.0;4;-39.902;0;90.703;-100;;190.7;2736
49.0;4;-32.168;0;58.535;-100;;188.3;2704
49.1;4;-29.707;0;-29.883;0;;26.7;400
49.2;4;-19.512;0;-83.672;100;;218.3;3106
49.3;4;-23.379;0;-72.773;100;;202.1;2890
49.4;4;-29.883;0;1.934;0;;27;404
49.5;4;-36.387;0;74.883;-100;;192.2;2756
49.7;4;-37.617;0;83.848;-100;;188.5;2706
49.8;4;-27.598;0;27.07;-100;;189.4;2720
50.0;4;-22.852;0;-58.008;100;;207.2;2960
50.0;4;-16.699;0;-86.484;100;;203.6;2910
50.1;4;-25.84;0;-49.57;100;;202.5;2896
50.2;4;-28.828;0;37.441;-100;;189.8;2724
50.4;4;-37.793;0;85.43;-100;;191.3;2746
50.5;4;-32.52;0;67.676;-100;;188.3;2704
50.6;4;-27.949;0;-11.953;0;;27.5;412
50.7;4;-20.039;0;-76.992;100;;217.8;3100
50.7;4;-21.445;0;-78.398;100;;213.3;3040
50.8;4;-31.816;0;-15.82;0;;27.5;412
51.0;4;-37.266;0;64.512;-100;;192.2;2756
51.0;4;-42.012;0;85.957;-100;;199.4;2854
51.1;4;-31.465;0;41.484;-100;;188.2;2704
51.2;4;-27.07;0;-44.824;100;;206.6;2950
51.2;4;-18.457;0;-84.902;100;;204.7;2926
51.3;4;-25.312;0;-60.117;100;;202.4;2894
51.4;4;-29.707;0;22.148;0;;26.8;400
51.6;4;-39.199;0;80.156;-100;;192.4;2760
51.6;4;-36.914;0;74.18;-100;;188.4;2704
51.7;4;-29.18;0;5.449;0;;27;404
51.8;4;-22.5;0;-67.676;100;;207.3;2960
51.9;4;-19.863;0;-80.508;100;;214;3050
52.1;4;-30.234;0;-29.707;100;;203;2904
