attempt,t,pend_deg,mode,pwm,v_bus
7,8.036,59.59,5,39,14.948
7,8.368,-49.40,5,-56,14.920
7,8.657,79.98,5,55,14.784
7,8.965,-121.99,5,-51,14.928
7,9.284,134.82,5,-53,14.928
7,9.582,-74.88,5,-51,14.952
7,9.921,5.98,5,-59,14.908
7,10.206,-16.35,5,58,14.800
7,10.516,-9.49,5,-44,15.012
7,10.817,53.09,5,-45,14.988
7,11.142,-29.71,5,-50,14.988
7,11.420,74.18,5,-59,14.716
7,11.753,-114.08,5,-56,14.876
7,12.052,137.46,5,-59,14.856
7,12.339,-60.82,5,-20,15.020
7,12.666,-152.93,4,22,15.016
7,12.952,110.39,4,-52,14.936
7,13.267,30.76,4,65,14.680
7,13.569,-119.88,4,35,14.996
7,13.885,119.00,4,48,14.860
7,14.114,-31.99,4,34,15.008
7,14.394,28.12,4,0,15.020
7,14.698,-71.54,4,51,14.820
7,15.018,79.63,4,44,14.912
7,15.251,-1.05,4,35,14.992
7,15.490,8.61,4,20,15.016
7,15.719,-32.52,4,19,15.016
7,15.967,37.44,4,50,14.832
7,16.193,-40.08,4,15,15.020
7,16.426,48.16,4,40,14.952
7,16.654,-1.58,4,16,15.020
7,16.886,-6.86,4,19,15.016
7,17.144,-5.45,4,21,15.016
7,17.409,0.35,4,47,15.016
7,17.632,1.05,4,41,14.948
7,17.897,0.53,4,35,14.996
7,18.164,9.49,4,34,15.000
7,18.483,2.46,4,38,14.980
7,18.790,-1.05,4,16,15.020
7,19.013,-0.88,4,16,15.020
7,19.255,1.58,4,37,14.984
7,19.511,5.10,4,35,14.988
7,19.755,0.70,4,35,14.992
7,19.988,0.70,4,36,14.980
7,20.232,2.11,4,36,14.984
7,20.482,1.93,4,35,14.996
7,20.741,1.23,4,36,14.976
7,20.973,1.93,4,36,14.984
7,21.216,1.41,4,35,14.988
7,21.443,1.76,4,35,14.984
7,21.673,1.76,4,35,14.996
7,21.895,1.41,4,35,14.992
7,22.119,1.76,4,35,14.996
7,22.398,1.58,4,35,14.996
7,22.700,1.76,4,35,14.996
7,22.941,1.58,4,35,14.992
7,23.195,1.58,4,35,14.996
7,23.430,1.58,4,35,14.988
7,23.657,1.58,4,35,14.996
7,23.886,1.58,4,35,14.996
7,24.125,1.58,4,35,14.992
7,24.357,1.58,4,35,14.992
7,24.586,1.58,4,35,14.996
7,24.831,1.58,4,35,14.984
7,25.064,1.58,4,35,14.992
7,25.324,1.58,4,35,14.996
7,25.577,1.58,4,35,14.960
7,25.806,1.58,4,35,14.992
7,26.033,1.58,4,35,14.992
7,26.272,1.58,4,35,14.992
7,26.525,1.58,4,35,14.992
7,26.776,1.58,4,35,14.992
7,27.029,1.58,4,35,14.992
7,27.275,1.58,4,35,14.992
