sp,attempt,t,pend_deg,mode,pwm,v_bus
60,4,21.137,34.45,5,58,14.856
60,4,21.370,-56.25,5,-50,14.936
60,4,21.603,63.63,5,-50,14.956
60,4,21.828,-16.70,5,-47,14.972
60,4,22.104,31.64,5,-59,14.880
60,4,22.329,-31.29,5,59,14.756
60,4,22.567,-61.70,5,-53,14.916
60,4,22.801,114.08,5,-57,14.880
60,4,23.040,-57.83,5,-49,14.964
60,4,23.330,40.25,5,-59,14.880
60,4,23.600,41.84,5,59,14.732
60,4,23.832,-132.01,5,-53,14.924
60,4,24.070,35.16,5,58,14.912
60,4,24.317,123.22,5,59,14.692
60,4,24.561,-97.03,5,-53,14.920
60,4,24.820,-168.57,4,22,15.020
60,4,25.047,-83.67,4,21,15.016
60,4,25.272,132.54,4,-62,14.804
60,4,25.495,63.46,4,69,14.612
60,4,25.721,-142.38,4,45,14.912
60,4,25.960,46.05,4,13,15.020
60,4,26.187,111.97,4,34,14.988
60,4,26.414,-106.70,4,35,14.988
60,4,26.643,-41.66,4,18,15.012
60,4,26.889,109.86,4,50,14.816
60,4,27.119,-81.74,4,31,15.008
60,4,27.347,-26.19,4,13,15.020
60,4,27.571,96.68,4,39,14.960
60,4,27.814,-82.79,4,30,15.012
60,4,28.041,40.25,4,16,15.020
60,4,28.301,38.50,4,37,14.976
60,4,28.538,-53.26,4,31,15.004
60,4,28.770,73.48,4,39,14.960
60,4,29.001,-65.22,4,30,15.008
60,4,29.237,58.89,4,39,14.960
60,4,29.467,-34.10,4,31,15.004
60,4,29.704,16.52,4,15,15.016
60,4,29.943,-3.34,4,34,14.992
60,5,0.027,-13.89,5,59,14.732
60,5,0.270,33.05,5,-58,14.872
60,5,0.515,-39.20,5,-19,15.016
60,5,0.741,36.03,5,-59,14.876
60,5,0.968,13.01,5,59,14.732
60,5,1.195,-94.57,5,-57,14.872
60,5,1.422,103.89,5,59,14.848
60,5,1.665,27.25,5,59,14.756
60,5,1.907,-145.37,5,-55,14.912
60,5,2.144,-39.38,5,-56,14.928
60,5,2.402,147.13,5,55,14.740
60,5,2.621,39.73,5,56,14.796
60,5,2.848,-152.58,4,-32,15.016
60,5,3.076,-50.98,4,16,15.016
60,5,3.312,154.51,4,45,14.900
60,5,3.547,55.20,4,39,14.956
60,5,3.825,-85.25,4,52,14.796
60,5,4.051,88.07,4,-42,15.008
60,5,4.289,-60.12,4,52,14.820
60,5,4.554,-40.08,4,18,15.012
60,5,4.784,104.41,4,52,14.796
60,5,5.013,-17.40,4,18,15.020
60,5,5.237,-2.99,4,57,14.756
60,5,5.463,-1.58,4,23,15.016
60,5,5.686,-7.21,4,50,14.852
60,5,5.942,28.48,4,19,15.020
60,5,6.188,-14.94,4,17,14.956
60,5,6.425,-1.23,4,22,14.800
60,5,6.653,5.10,4,22,15.016
60,5,6.899,-30.94,4,42,14.952
60,5,7.126,41.48,4,19,15.016
60,5,7.364,-5.98,4,18,15.020
60,5,7.612,-8.26,4,21,15.016
60,5,7.846,-8.44,4,22,15.016
