t,pend,servo,mode,pwm,v
41.118,-2.99,-6.33,5,-33,14.76
41.2,0.18,-5.45,5,-17,14.77
41.291,3.16,-4.39,5,-34,14.77
41.387,1.58,-5.1,5,19,14.77
41.469,-0.7,-5.45,5,19,14.75
41.539,-2.29,-5.45,5,35,14.75
41.616,-2.99,-6.15,5,-33,14.75
41.726,0.7,-5.27,5,-17,14.77
41.816,3.34,-4.57,5,-34,14.76
41.892,1.41,-5.27,5,19,14.76
41.967,-0.7,-5.45,5,19,14.74
42.058,-2.46,-5.8,5,35,14.75
42.136,-2.64,-6.5,5,-16,14.76
42.224,0.88,-5.45,5,-17,14.77
42.309,3.52,-4.57,5,-34,14.76
42.391,1.76,-5.27,5,19,14.76
42.462,-0.7,-5.62,5,19,14.76
42.545,-2.46,-5.62,5,35,14.75
42.614,-2.99,-6.33,5,-33,14.77
42.695,-0.18,-5.62,5,-17,14.77
42.782,3.16,-4.39,5,-34,14.69
42.882,2.11,-5.1,5,19,14.77
42.966,-0.7,-5.8,5,35,14.74
43.065,-2.29,-5.8,5,35,14.75
43.15,-2.11,-6.15,5,-33,14.77
43.229,1.58,-5.1,5,-17,14.77
43.317,2.99,-4.75,5,-34,14.75
43.423,0.88,-5.45,5,19,14.77
43.497,-1.41,-5.62,5,19,14.68
43.591,-2.81,-6.15,5,18,14.74
43.674,-1.41,-6.15,5,-16,14.77
43.746,2.46,-4.75,5,-17,14.76
43.862,2.46,-4.92,5,34,14.77
43.946,-0.35,-5.62,5,19,14.77
44.022,-1.93,-5.62,5,35,14.77
44.098,-2.81,-6.15,5,35,14.74
44.18,-0.7,-5.98,5,-17,14.77
44.264,2.64,-4.92,5,-17,14.77
44.338,3.16,-4.92,5,-34,14.78
44.416,0.7,-5.8,5,19,14.76
44.496,-1.58,-5.8,5,19,14.76
44.579,-2.46,-5.8,5,35,14.74
44.664,-1.58,-5.98,5,-17,14.77
44.752,1.93,-4.75,5,-17,14.74
44.831,2.81,-4.57,5,-34,14.76
44.913,0.88,-5.1,5,19,14.77
44.987,-1.23,-5.45,5,19,14.76
45.068,-2.46,-5.62,5,35,14.74
45.151,-1.93,-6.33,5,-33,14.77
45.235,1.93,-4.92,5,-17,14.77
45.314,3.52,-4.57,5,-34,14.76
45.391,1.58,-5.45,5,19,14.77
45.472,-0.7,-5.62,5,19,14.75
