t,pend,servo,mode,pwm,v
30.667,-1.93,-6.86,5,-25,14.76
30.757,2.29,-5.45,5,-26,14.76
30.835,3.69,-5.27,5,28,14.76
30.925,0.7,-6.15,5,28,14.76
31.005,-2.29,-6.68,5,29,14.75
31.081,-2.99,-6.5,5,35,14.74
31.156,-2.46,-7.03,5,-25,14.76
31.234,1.05,-5.98,5,-26,14.76
31.308,3.69,-4.92,5,-34,14.77
31.384,2.29,-5.45,5,28,14.76
31.464,-1.23,-6.33,5,28,14.77
31.547,-2.81,-6.15,5,28,14.72
31.629,-2.99,-6.68,5,35,14.73
31.701,-0.35,-6.33,5,-26,14.77
31.778,3.16,-5.1,5,-26,14.76
31.859,3.16,-5.27,5,28,14.76
31.939,0.0,-6.33,5,28,14.76
32.02,-2.46,-6.33,5,28,14.76
32.098,-2.99,-6.33,5,35,14.74
32.2,-1.05,-6.5,5,-26,14.76
32.309,3.69,-4.92,5,-26,14.77
32.383,2.29,-5.45,5,28,14.75
32.463,-0.7,-6.33,5,28,14.76
32.548,-2.64,-6.15,5,35,14.74
32.637,-2.81,-6.86,5,-33,14.75
32.713,0.18,-5.98,5,-26,14.76
32.826,3.69,-4.75,5,-34,14.76
32.925,0.88,-5.8,5,28,14.76
33.005,-2.11,-6.33,5,28,14.74
33.076,-2.99,-6.15,5,35,14.74
33.154,-2.64,-6.86,5,-33,14.77
33.229,1.05,-5.8,5,-26,14.76
33.311,3.87,-4.92,5,-34,14.76
33.394,1.76,-5.62,5,28,14.75
33.464,-1.23,-6.5,5,28,14.76
33.557,-2.81,-6.33,5,35,14.76
33.633,-2.99,-6.68,5,-33,14.74
33.731,1.41,-5.62,5,-26,14.76
33.822,3.69,-4.92,5,-34,14.76
33.896,1.58,-5.62,5,28,14.77
33.993,-1.93,-6.33,5,28,14.77
34.067,-2.81,-6.15,5,35,14.74
34.149,-2.64,-7.03,5,-25,14.76
34.221,0.88,-6.15,5,-26,14.76
34.301,3.69,-5.1,5,-33,14.76
34.378,2.81,-5.45,5,28,14.76
34.469,-1.41,-6.5,5,28,14.76
34.549,-2.64,-6.33,5,35,14.75
34.634,-2.99,-6.68,5,35,14.73
34.712,-0.35,-6.33,5,-26,14.76
34.789,3.52,-4.92,5,-26,14.76
34.874,3.16,-5.1,5,28,14.76
34.947,-0.35,-6.15,5,28,14.76
35.017,-2.46,-6.33,5,28,14.76
35.112,-2.99,-6.15,5,35,14.74
35.201,-1.41,-6.68,5,-25,14.76
35.284,3.16,-5.1,5,-26,14.77
35.365,2.99,-5.27,5,-33,14.76
35.443,-0.18,-6.15,5,28,14.76
35.533,-2.64,-6.33,5,28,14.74
35.607,-3.16,-6.5,5,35,14.74
35.683,-1.41,-6.5,5,-25,14.75
35.761,2.64,-5.1,5,-26,14.76
35.837,3.52,-4.92,5,28,14.76
35.912,1.05,-5.8,5,28,14.76
35.985,-1.93,-6.33,5,28,14.76
36.074,-2.81,-6.15,5,35,14.74
36.157,-2.11,-6.68,5,-25,14.76
36.232,1.76,-5.27,5,-26,14.76
36.303,3.52,-4.57,5,-34,14.76
36.389,1.41,-5.45,5,28,14.76
36.489,-1.58,-5.98,5,28,14.76
36.582,-3.16,-6.33,5,35,14.74
36.676,-2.29,-6.86,5,-25,14.76
36.747,2.64,-5.45,5,-26,14.77
36.825,3.87,-5.27,5,-33,14.76
36.912,1.05,-6.33,5,28,14.76
36.994,-2.11,-6.68,5,35,14.76
37.084,-3.16,-6.68,5,35,14.73
37.169,-2.29,-7.21,5,-25,14.76
37.246,2.29,-5.62,5,-26,14.76
37.331,3.87,-5.1,5,-33,14.77
37.405,1.41,-5.98,5,28,14.76
37.486,-1.93,-6.5,5,28,14.75
37.566,-3.16,-6.33,5,35,14.74
37.653,-2.64,-6.68,5,-25,14.76
37.738,1.41,-5.45,5,-26,14.76
37.814,3.52,-4.75,5,-34,14.76
37.903,1.23,-5.62,5,28,14.75
37.972,-1.58,-6.33,5,28,14.76
